query,bleu,rougeL,semantic_similarity,accuracy,precision,recall,f1_score,confidence_score,latency_ms,retrieval_score
Berapa kapasitas baterai Wuling Air EV?,0.0341599190576228,0.3636363636363636,0.375,1.0,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.528298022728474,27873.871326446533,0.8576979041099548
Apa mesin yang digunakan Honda CR-V?,0.003111908084460195,0.22222222222222218,0.07142857142857142,0.0,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.40581672454368106,20947.638988494873,0.698966383934021
Bandingkan Honda CR-V dan Toyota Fortuner.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28059905767440796,6526.712656021118,0.5611981153488159
Apa itu mobil listrik?,0.029734825030798072,0.26666666666666666,0.12121212121212122,1.0,0.16,0.8,0.26666666666666666,0.3336605705161478,7395.005941390991,0.5191203951835632
